order_id,customer_id,order_date,order_status,payment_method,shipping_country,shipping_fee,discount,marketing_campaign_id,order_amount
O0000084,C04019,2024-01-31T22:12:00,completed,bank_transfer,Germany,3.99,0.0,,39.81
O0000085,C00248,2023-02-20T21:30:00,completed,paypal,United Kingdom,0.0,0.0,,31.47
O0000086,C04019,2024-03-26T15:51:00,completed,apple_pay,Germany,3.99,0.0,,65.24
O0000087,C04938,2022-07-09T21:55:00,completed,google_pay,Australia,5.99,0.0,,40.14
O0000088,C01876,2024-05-09T03:12:00,completed,bank_transfer,Brazil,0.0,5.0,CAM105,84.71
O0000089,C04019,2023-01-04T11:40:00,returned,paypal,Germany,3.99,0.0,,19.3
O0000090,C04019,2022-07-01T19:57:00,completed,paypal,Germany,3.99,0.0,CAM105,84.56
O0000091,C04019,2025-07-26T00:23:00,completed,apple_pay,Germany,3.99,0.0,,17.1
O0000092,C04019,2023-11-15T01:17:00,cancelled,apple_pay,Germany,3.99,0.0,,128.04
O0000093,C00248,2022-09-28T05:27:00,completed,bank_transfer,United Kingdom,3.99,0.0,,57.51
O0000094,C01876,2024-02-16T16:39:00,completed,google_pay,Brazil,3.99,0.0,,51.36
O0000095,C04019,2024-09-25T06:16:00,returned,credit_card,Germany,5.99,15.0,CAM106,27.28
O0000096,C04019,2024-11-19T08:02:00,completed,credit_card,Germany,5.99,0.0,,105.33
O0000097,C04019,2024-03-13T08:41:00,completed,bank_transfer,Germany,3.99,0.0,CAM104,8.99
O0000098,C00248,2025-02-24T20:43:00,completed,apple_pay,United Kingdom,3.99,0.0,,104.0
O0000099,C00901,2022-11-08T08:34:00,completed,paypal,India,5.99,0.0,,10.99
O0000100,C04019,2022-11-29T13:13:00,completed,credit_card,Germany,3.99,0.0,,46.05
O0000101,C00248,2023-12-31T00:27:00,completed,paypal,United Kingdom,3.99,0.0,,38.13
O0000102,C04019,2024-09-05T01:09:00,completed,google_pay,Germany,3.99,20.0,CAM107,9.48
O0000103,C04994,2025-03-27T16:48:00,completed,paypal,Germany,0.0,0.0,,8.01
O0000104,C04019,2023-10-28T20:56:00,completed,apple_pay,Germany,3.99,0.0,,34.18
O0000105,C04019,2023-07-17T23:32:00,completed,credit_card,Germany,5.99,0.0,,182.01
O0000106,C00248,2022-09-03T20:19:00,completed,paypal,United Kingdom,5.99,0.0,,18.45
O0000107,C04019,2024-07-06T12:28:00,completed,credit_card,Germany,3.99,0.0,,62.21
O0000108,C04019,2022-05-25T09:18:00,completed,bank_transfer,Germany,3.99,0.0,,16.45
O0000109,C00248,2025-03-28T06:14:00,completed,apple_pay,United Kingdom,3.99,0.0,,17.0
O0000110,C01876,2023-12-24T22:29:00,completed,google_pay,Brazil,3.99,0.0,,48.94
O0000111,C01876,2025-01-01T04:56:00,completed,bank_transfer,Brazil,5.99,0.0,,17.18
O0000112,C04019,2023-12-10T09:48:00,completed,credit_card,Germany,3.99,0.0,,65.24
O0000113,C00248,2025-01-29T12:00:00,completed,bank_transfer,United Kingdom,3.99,10.0,CAM108,13.37
O0000114,C00248,2023-09-29T22:19:00,completed,bank_transfer,United Kingdom,3.99,0.0,,70.76
O0000115,C04019,2022-08-03T18:50:00,cancelled,credit_card,Germany,5.99,0.0,,22.04
O0000116,C04019,2023-03-29T23:19:00,completed,google_pay,Germany,3.99,15.0,CAM107,0.0
O0000117,C04019,2023-08-06T13:19:00,completed,credit_card,Germany,3.99,0.0,,11.98
O0000118,C04019,2024-06-04T00:42:00,completed,credit_card,Germany,3.99,0.0,,34.68
O0000119,C00248,2023-11-02T03:12:00,completed,paypal,United Kingdom,3.99,0.0,CAM102,37.0
O0000120,C04019,2024-11-18T11:04:00,completed,paypal,Germany,3.99,0.0,,59.96
O0000121,C04019,2022-04-18T02:58:00,completed,paypal,Germany,0.0,20.0,CAM102,59.84
O0000122,C04019,2023-11-18T07:28:00,returned,bank_transfer,Germany,3.99,0.0,,20.71
O0000123,C00248,2022-08-28T19:29:00,completed,bank_transfer,United Kingdom,3.99,0.0,,25.61
O0000124,C04019,2023-12-27T17:15:00,completed,bank_transfer,Germany,3.99,20.0,CAM101,129.29
O0000125,C04019,2022-06-26T09:49:00,completed,credit_card,Germany,5.99,0.0,,19.83
O0000126,C00248,2024-05-05T09:31:00,completed,apple_pay,United Kingdom,3.99,0.0,,11.85
O0000127,C00248,2022-04-13T11:16:00,completed,credit_card,United Kingdom,0.0,0.0,,7.99
O0000128,C02701,2024-12-17T11:21:00,returned,bank_transfer,Brazil,3.99,0.0,,47.42
O0000129,C00248,2022-01-11T10:20:00,completed,apple_pay,United Kingdom,0.0,0.0,,13.42
O0000130,C04019,2022-08-05T17:52:00,completed,credit_card,Germany,5.99,0.0,,22.41
O0000131,C00248,2024-02-04T07:31:00,completed,bank_transfer,United Kingdom,5.99,0.0,,46.37
O0000132,C02204,2022-12-18T15:07:00,completed,bank_transfer,United States,3.99,0.0,CAM106,12.01
O0000133,C01876,2024-10-06T13:45:00,completed,paypal,Brazil,3.99,0.0,,66.48
O0000134,C01876,2023-09-13T23:42:00,completed,credit_card,Brazil,0.0,0.0,,16.72
O0000135,C00248,2022-10-28T22:11:00,completed,paypal,United Kingdom,3.99,10.0,CAM102,0.0
O0000136,C04019,2023-12-30T16:12:00,returned,credit_card,Germany,5.99,0.0,,16.71
O0000137,C02786,2023-03-08T12:58:00,returned,bank_transfer,Australia,3.99,0.0,,88.76
O0000138,C04994,2024-05-14T01:33:00,completed,apple_pay,Germany,0.0,0.0,,5.51
O0000139,C04019,2024-11-17T19:46:00,completed,bank_transfer,Germany,0.0,0.0,,29.54
O0000140,C04019,2024-06-22T13:21:00,completed,apple_pay,Germany,3.99,0.0,,51.02
O0000141,C00248,2025-04-06T03:06:00,completed,apple_pay,United Kingdom,3.99,0.0,,26.37
O0000142,C02771,2024-12-06T21:45:00,completed,bank_transfer,United States,3.99,0.0,CAM106,19.76
O0000143,C01930,2023-04-11T11:46:00,returned,apple_pay,United Kingdom,3.99,0.0,,36.13
O0000144,C04019,2022-02-04T00:00:00,completed,credit_card,Germany,3.99,0.0,,57.01
O0000145,C00248,2024-04-12T10:06:00,completed,apple_pay,United Kingdom,3.99,0.0,,38.98
O0000146,C00248,2022-12-08T19:52:00,completed,credit_card,United Kingdom,3.99,0.0,,14.32
O0000147,C04019,2022-11-05T15:20:00,completed,paypal,Germany,3.99,0.0,,18.55
O0000148,C04019,2025-06-23T02:26:00,completed,paypal,Germany,3.99,0.0,,27.1
O0000149,C03832,2024-06-16T13:49:00,completed,google_pay,France,5.99,0.0,,28.51
O0000150,C04019,2024-06-27T17:28:00,completed,apple_pay,Germany,0.0,0.0,,14.64
O0000151,C04019,2024-03-22T08:29:00,completed,bank_transfer,Germany,0.0,0.0,,5.0
O0000152,C04994,2022-12-16T23:50:00,completed,apple_pay,Germany,3.99,0.0,CAM108,14.11
O0000153,C04019,2023-05-18T12:13:00,completed,apple_pay,Germany,3.99,0.0,,12.73
O0000154,C00248,2024-04-14T16:46:00,completed,google_pay,United Kingdom,3.99,0.0,,26.37
O0000155,C00901,2023-04-04T13:48:00,completed,credit_card,India,5.99,0.0,,12.77
O0000156,C04019,2024-11-17T17:41:00,completed,bank_transfer,Germany,3.99,10.0,CAM110,3.32
O0000157,C04019,2025-06-25T13:09:00,completed,credit_card,Germany,3.99,0.0,,115.27
O0000158,C04019,2024-01-17T08:17:00,completed,bank_transfer,Germany,0.0,0.0,,15.6
O0000159,C00248,2023-06-07T13:06:00,completed,bank_transfer,United Kingdom,3.99,0.0,,13.1
O0000160,C04019,2022-08-22T19:35:00,completed,paypal,Germany,3.99,0.0,,27.13
O0000161,C04019,2024-11-19T22:21:00,completed,bank_transfer,Germany,3.99,10.0,CAM101,5.56
O0000162,C04019,2025-03-02T01:23:00,completed,apple_pay,Germany,5.99,0.0,,17.72
O0000163,C04019,2022-07-16T11:58:00,returned,paypal,Germany,5.99,0.0,,19.1
O0000164,C04019,2023-06-24T10:29:00,returned,google_pay,Germany,3.99,0.0,,29.47
O0000165,C04019,2023-03-21T05:19:00,completed,bank_transfer,Germany,3.99,15.0,CAM109,0.0
O0000166,C01043,2023-12-16T18:22:00,completed,credit_card,Australia,3.99,0.0,CAM106,16.42
O0000167,C04019,2023-08-15T08:27:00,completed,apple_pay,Germany,5.99,0.0,,99.79
O0000168,C00248,2022-02-15T06:25:00,completed,google_pay,United Kingdom,0.0,0.0,,30.5
O0000169,C04019,2025-07-07T22:57:00,completed,apple_pay,Germany,3.99,0.0,,13.93
O0000170,C04019,2023-09-20T05:49:00,completed,paypal,Germany,5.99,0.0,,70.37
O0000171,C00248,2023-01-12T23:24:00,completed,paypal,United Kingdom,0.0,15.0,CAM101,10.72
O0000172,C04019,2025-05-27T12:20:00,returned,paypal,Germany,3.99,0.0,,62.86
O0000173,C03691,2024-05-21T11:28:00,completed,google_pay,Brazil,9.99,0.0,,230.71
O0000174,C04019,2023-06-27T23:05:00,completed,apple_pay,Germany,3.99,0.0,,28.26
O0000175,C04019,2023-09-12T16:58:00,completed,bank_transfer,Germany,3.99,0.0,CAM101,110.81
O0000176,C03774,2023-11-28T08:00:00,completed,bank_transfer,Canada,5.99,5.0,CAM107,38.01
O0000177,C04019,2023-05-23T20:34:00,returned,bank_transfer,Germany,3.99,0.0,CAM104,16.45
O0000178,C04019,2024-03-16T17:28:00,completed,credit_card,Germany,5.99,0.0,,71.48
O0000179,C04019,2023-03-27T05:06:00,completed,google_pay,Germany,5.99,0.0,,37.79
O0000180,C01876,2022-09-11T13:13:00,returned,paypal,Brazil,9.99,0.0,,40.14
O0000181,C04019,2022-07-12T16:48:00,completed,apple_pay,Germany,5.99,0.0,,22.04
O0000182,C04019,2022-07-11T11:14:00,completed,credit_card,Germany,3.99,0.0,,26.57
O0000183,C04019,2025-06-30T06:27:00,completed,google_pay,Germany,3.99,0.0,,14.9
O0000184,C00248,2024-05-31T20:53:00,completed,credit_card,United Kingdom,3.99,0.0,,29.93
O0000185,C04019,2023-05-13T12:12:00,completed,bank_transfer,Germany,3.99,20.0,CAM110,15.84
O0000186,C01186,2022-10-25T09:34:00,completed,credit_card,United States,3.99,0.0,,58.47
O0000187,C04461,2024-10-06T03:54:00,completed,google_pay,United States,3.99,0.0,,141.34
O0000188,C00248,2025-06-26T11:12:00,completed,credit_card,United Kingdom,0.0,0.0,,41.11
O0000189,C04019,2022-08-27T10:23:00,completed,paypal,Germany,3.99,0.0,,20.96
O0000190,C04019,2025-04-09T02:01:00,completed,google_pay,Germany,3.99,0.0,,11.29
O0000191,C04019,2024-01-03T08:31:00,completed,credit_card,Germany,0.0,0.0,,18.88
O0000192,C04019,2024-10-29T15:22:00,completed,paypal,Germany,0.0,0.0,,81.19
O0000193,C03985,2024-10-03T08:48:00,completed,paypal,Germany,3.99,0.0,,15.41
O0000194,C04019,2025-04-22T10:02:00,completed,google_pay,Germany,9.99,10.0,CAM105,25.48
O0000195,C01876,2025-02-19T05:46:00,completed,credit_card,Brazil,5.99,0.0,,16.8
O0000196,C00248,2024-05-09T13:44:00,completed,apple_pay,United Kingdom,3.99,0.0,,11.77
O0000197,C04019,2023-11-04T09:05:00,returned,apple_pay,Germany,3.99,0.0,,57.24
O0000198,C04019,2024-11-03T22:30:00,completed,google_pay,Germany,3.99,0.0,,88.84
O0000199,C01876,2024-10-23T22:20:00,completed,apple_pay,Brazil,3.99,0.0,,24.47
O0000200,C04994,2022-08-22T02:19:00,completed,apple_pay,Germany,3.99,0.0,,19.59
O0000201,C04019,2023-02-16T08:41:00,completed,credit_card,Germany,5.99,5.0,CAM109,33.92
O0000202,C04461,2023-04-28T23:50:00,cancelled,apple_pay,United States,3.99,0.0,,23.27
O0000203,C04019,2024-12-17T03:20:00,completed,paypal,Germany,5.99,0.0,,42.28
O0000204,C04019,2024-05-19T19:38:00,cancelled,google_pay,Germany,3.99,0.0,,30.94
O0000205,C04019,2024-11-21T18:27:00,cancelled,apple_pay,Germany,5.99,0.0,,87.18
O0000206,C04019,2025-06-26T13:27:00,completed,credit_card,Germany,3.99,10.0,CAM108,40.98
O0000207,C04019,2023-01-23T04:15:00,completed,credit_card,Germany,3.99,0.0,,23.77
O0000208,C04019,2024-12-01T07:40:00,completed,credit_card,Germany,5.99,0.0,,155.11
O0000209,C01876,2023-01-13T20:16:00,completed,paypal,Brazil,3.99,0.0,,24.75
O0000210,C03832,2022-03-22T03:41:00,returned,apple_pay,France,3.99,10.0,CAM110,30.35
O0000211,C04994,2022-03-19T22:52:00,completed,paypal,Germany,5.99,0.0,,42.08
O0000212,C04019,2025-03-19T16:54:00,completed,apple_pay,Germany,5.99,5.0,CAM110,42.37
O0000213,C04019,2024-06-03T00:48:00,completed,google_pay,Germany,3.99,0.0,,24.15
O0000214,C04019,2023-07-06T13:22:00,completed,google_pay,Germany,0.0,0.0,,9.06
O0000215,C04019,2023-04-07T20:39:00,completed,paypal,Germany,0.0,0.0,,13.84
O0000216,C04019,2024-06-05T09:10:00,returned,credit_card,Germany,3.99,0.0,,91.75
O0000217,C04019,2025-06-14T04:04:00,completed,paypal,Germany,5.99,0.0,CAM105,83.21
O0000218,C00618,2022-03-29T21:46:00,completed,paypal,United States,0.0,20.0,CAM107,0.0
O0000219,C04019,2025-06-07T04:36:00,completed,credit_card,Germany,3.99,0.0,,51.02
O0000220,C04019,2025-06-07T01:26:00,completed,google_pay,Germany,5.99,0.0,CAM101,146.76
O0000221,C04019,2023-05-06T01:29:00,completed,google_pay,Germany,3.99,0.0,,27.13
O0000222,C04019,2023-02-18T23:18:00,returned,google_pay,Germany,3.99,0.0,,71.58
O0000223,C04019,2025-03-23T08:55:00,returned,paypal,Germany,3.99,0.0,,59.96
O0000224,C04019,2022-05-21T12:31:00,completed,credit_card,Germany,3.99,0.0,,8.99
O0000225,C01802,2022-12-07T04:16:00,returned,bank_transfer,Brazil,3.99,0.0,,26.51
O0000226,C04019,2023-05-01T00:22:00,completed,google_pay,Germany,3.99,0.0,,25.61
O0000227,C04019,2024-04-16T02:31:00,completed,google_pay,Germany,3.99,0.0,,29.47
O0000228,C04019,2025-05-18T11:08:00,completed,apple_pay,Germany,9.99,0.0,,54.28
O0000229,C01876,2023-12-25T13:59:00,completed,apple_pay,Brazil,3.99,0.0,,48.97
O0000230,C01876,2022-08-01T21:44:00,completed,credit_card,Brazil,3.99,0.0,,87.95
O0000231,C04019,2023-09-25T02:28:00,completed,bank_transfer,Germany,9.99,0.0,CAM101,163.73
O0000232,C04019,2023-11-10T01:29:00,completed,paypal,Germany,3.99,0.0,,28.94
O0000233,C01341,2023-04-06T21:01:00,completed,credit_card,United States,3.99,0.0,,180.01
O0000234,C04019,2023-11-02T18:57:00,completed,credit_card,Germany,0.0,0.0,,197.41
O0000235,C04019,2024-03-01T10:04:00,completed,apple_pay,Germany,0.0,0.0,,130.83
O0000236,C04019,2025-01-19T12:52:00,completed,google_pay,Germany,3.99,0.0,,9.9
O0000237,C04019,2024-07-27T07:16:00,cancelled,paypal,Germany,5.99,0.0,,78.69
O0000238,C01876,2025-08-24T20:47:00,completed,apple_pay,Brazil,3.99,10.0,CAM107,10.04
O0000239,C04019,2023-04-17T05:16:00,completed,paypal,Germany,9.99,0.0,,91.18
O0000240,C04019,2024-11-15T08:50:00,completed,apple_pay,Germany,3.99,0.0,,37.75
O0000241,C00807,2024-05-25T13:41:00,completed,google_pay,India,9.99,0.0,,33.83
O0000242,C04019,2023-04-19T01:00:00,completed,credit_card,Germany,3.99,0.0,,22.95
O0000243,C02701,2022-04-17T12:36:00,completed,apple_pay,Brazil,3.99,0.0,,18.56
O0000244,C00248,2024-01-31T14:45:00,completed,google_pay,United Kingdom,9.99,0.0,,29.77
O0000245,C04461,2025-06-27T09:18:00,completed,bank_transfer,United States,3.99,0.0,,33.53
O0000246,C04019,2025-09-08T15:15:00,completed,apple_pay,Germany,5.99,0.0,,22.82
O0000247,C04019,2023-04-24T12:08:00,completed,apple_pay,Germany,3.99,0.0,,45.3
O0000248,C04461,2024-04-13T08:31:00,completed,paypal,United States,5.99,0.0,,79.81
O0000249,C03153,2025-05-08T02:36:00,completed,google_pay,Germany,5.99,0.0,CAM103,66.07
O0000250,C00248,2023-10-07T07:08:00,completed,apple_pay,United Kingdom,3.99,0.0,CAM107,82.47
O0000251,C04019,2023-10-10T04:04:00,completed,credit_card,Germany,5.99,0.0,CAM107,96.27
O0000252,C03832,2025-02-25T21:02:00,completed,credit_card,France,5.99,0.0,,13.36
O0000253,C04019,2024-07-06T18:15:00,completed,bank_transfer,Germany,3.99,0.0,,19.12
O0000254,C04019,2024-11-11T11:20:00,completed,paypal,Germany,5.99,0.0,,41.83
O0000255,C04019,2023-04-04T16:21:00,completed,credit_card,Germany,0.0,0.0,CAM110,138.54
O0000256,C04019,2024-10-18T10:42:00,completed,google_pay,Germany,5.99,0.0,,38.71
O0000257,C04019,2024-04-01T12:00:00,completed,google_pay,Germany,3.99,0.0,,114.1
O0000258,C04019,2025-03-05T08:00:00,completed,paypal,Germany,5.99,0.0,,33.73
O0000259,C02380,2024-03-26T18:25:00,completed,bank_transfer,Canada,5.99,0.0,,32.29
O0000260,C04019,2023-09-03T18:17:00,completed,bank_transfer,Germany,5.99,0.0,,26.83
O0000261,C04019,2025-01-15T15:54:00,completed,bank_transfer,Germany,3.99,5.0,CAM105,41.83
O0000262,C01006,2025-07-04T05:04:00,completed,credit_card,India,3.99,0.0,,33.53
O0000263,C04019,2024-12-02T13:14:00,completed,apple_pay,Germany,3.99,0.0,,33.53
O0000264,C04019,2024-04-26T16:41:00,completed,google_pay,Germany,3.99,0.0,,51.47
O0000265,C04019,2022-03-21T21:03:00,completed,google_pay,Germany,0.0,0.0,CAM102,95.14
O0000266,C04019,2023-06-17T01:52:00,completed,credit_card,Germany,3.99,0.0,,162.77
O0000267,C03153,2022-09-15T15:17:00,completed,credit_card,Germany,3.99,0.0,,17.0
O0000268,C00248,2022-01-21T14:11:00,completed,credit_card,United Kingdom,3.99,0.0,,26.41
O0000269,C00248,2025-07-31T23:35:00,completed,paypal,United Kingdom,3.99,0.0,,60.02
O0000270,C00248,2024-10-09T00:32:00,completed,apple_pay,United Kingdom,5.99,0.0,,22.41
O0000271,C00248,2022-05-18T19:56:00,completed,apple_pay,United Kingdom,3.99,0.0,CAM109,30.77
O0000272,C00248,2022-09-20T05:04:00,completed,paypal,United Kingdom,3.99,0.0,,14.94
O0000273,C04019,2025-05-22T12:44:00,completed,credit_card,Germany,3.99,0.0,,19.87
O0000274,C01379,2024-01-14T17:16:00,completed,google_pay,United States,5.99,0.0,,42.35
O0000275,C04019,2025-01-23T21:51:00,completed,bank_transfer,Germany,3.99,0.0,,48.74
O0000276,C04019,2022-01-08T13:09:00,completed,bank_transfer,Germany,3.99,0.0,,137.97
O0000277,C01073,2022-02-20T00:24:00,completed,paypal,Canada,3.99,0.0,,34.22
O0000278,C04019,2024-06-08T14:24:00,completed,credit_card,Germany,3.99,0.0,,32.43
O0000279,C00901,2024-07-19T20:09:00,completed,bank_transfer,India,9.99,0.0,,28.95
O0000280,C04185,2025-08-01T01:25:00,completed,credit_card,France,3.99,0.0,,22.01
O0000281,C02616,2025-07-28T06:12:00,completed,credit_card,United States,5.99,0.0,,19.1
O0000282,C00248,2023-07-25T10:43:00,cancelled,paypal,United Kingdom,0.0,0.0,,24.17
O0000283,C04019,2024-12-06T15:33:00,completed,google_pay,Germany,3.99,0.0,CAM103,21.51
O0000284,C04019,2023-05-31T10:29:00,completed,bank_transfer,Germany,3.99,0.0,,154.88
O0000285,C04019,2023-04-11T10:39:00,completed,credit_card,Germany,3.99,0.0,,103.9
O0000286,C00248,2024-10-23T01:32:00,completed,apple_pay,United Kingdom,3.99,0.0,CAM101,138.72
