product_id,product_name,category,subcategory,price,cost
P0169,Women Item 169,Apparel,Women,87.25,52.89
P0170,Sportswear Item 170,Apparel,Sportswear,9.11,5.88
P0171,Women Item 171,Apparel,Women,21.73,18.09
P0172,Sportswear Item 172,Apparel,Sportswear,39.28,31.71
P0173,Sportswear Item 173,Apparel,Sportswear,30.72,13.27
P0174,Women Item 174,Apparel,Women,14.91,8.1
P0175,Men Item 175,Apparel,Men,15.31,6.94
P0176,Men Item 176,Apparel,Men,48.41,34.54
P0177,Sportswear Item 177,Apparel,Sportswear,50.38,36.82
P0178,Kids Item 178,Apparel,Kids,31.37,23.89
P0179,Sportswear Item 179,Apparel,Sportswear,12.64,9.33
P0180,Sportswear Item 180,Apparel,Sportswear,15.67,11.96
P0181,Sportswear Item 181,Apparel,Sportswear,24.13,13.69
P0182,Men Item 182,Apparel,Men,26.95,20.2
P0183,Men Item 183,Apparel,Men,38.0,29.88
P0184,Men Item 184,Apparel,Men,20.87,12.38
P0185,Sportswear Item 185,Apparel,Sportswear,47.48,21.2
P0186,Kids Item 186,Apparel,Kids,47.03,37.91
P0187,Men Item 187,Apparel,Men,69.71,37.92
P0188,Women Item 188,Apparel,Women,24.95,20.03
P0189,Women Item 189,Apparel,Women,31.8,26.32
P0190,Women Item 190,Apparel,Women,22.11,14.55
P0191,Sportswear Item 191,Apparel,Sportswear,12.75,6.78
P0192,Women Item 192,Apparel,Women,130.83,71.68
P0193,Sportswear Item 193,Apparel,Sportswear,61.96,46.85
P0194,Women Item 194,Apparel,Women,46.22,34.91
P0195,Kids Item 195,Apparel,Kids,24.29,10.35
P0196,Sportswear Item 196,Apparel,Sportswear,11.97,7.75
P0197,Women Item 197,Apparel,Women,53.52,29.86
P0198,Men Item 198,Apparel,Men,21.81,9.87
P0199,Sportswear Item 199,Apparel,Sportswear,34.14,23.15
P0200,Men Item 200,Apparel,Men,15.63,6.96
P0201,Men Item 201,Apparel,Men,29.84,12.91
P0202,Men Item 202,Apparel,Men,16.35,12.59
P0203,Men Item 203,Apparel,Men,16.83,7.37
P0204,Women Item 204,Apparel,Women,29.54,24.93
P0205,Women Item 205,Apparel,Women,7.7,5.9
P0206,Sportswear Item 206,Apparel,Sportswear,7.96,6.58
P0207,Sportswear Item 207,Apparel,Sportswear,13.81,10.35
P0208,Sportswear Item 208,Apparel,Sportswear,20.68,13.47
P0209,Women Item 209,Apparel,Women,48.72,21.93
P0210,Sportswear Item 210,Apparel,Sportswear,21.59,13.42
P0211,Men Item 211,Apparel,Men,24.17,10.28
P0212,Women Item 212,Apparel,Women,19.47,8.83
P0213,Sportswear Item 213,Apparel,Sportswear,31.76,23.37
P0214,Men Item 214,Apparel,Men,12.66,8.39
P0215,Sportswear Item 215,Apparel,Sportswear,22.49,11.89
P0216,Kids Item 216,Apparel,Kids,33.83,26.76
P0217,Sportswear Item 217,Apparel,Sportswear,29.35,12.71
P0218,Kids Item 218,Apparel,Kids,24.78,16.09
P0219,Sportswear Item 219,Apparel,Sportswear,25.02,17.09
P0220,Sportswear Item 220,Apparel,Sportswear,36.54,26.06
P0221,Women Item 221,Apparel,Women,137.35,91.06
P0222,Women Item 222,Apparel,Women,13.28,10.7
P0223,Kids Item 223,Apparel,Kids,141.44,74.23
P0224,Women Item 224,Apparel,Women,12.85,6.23
P0225,Men Item 225,Apparel,Men,5.0,3.31
P0226,Men Item 226,Apparel,Men,16.11,7.01
P0227,Kids Item 227,Apparel,Kids,32.25,17.39
P0228,Men Item 228,Apparel,Men,110.05,84.32
P0229,Men Item 229,Apparel,Men,11.96,9.69
P0230,Sportswear Item 230,Apparel,Sportswear,36.36,28.0
P0231,Women Item 231,Apparel,Women,8.53,6.99
P0232,Men Item 232,Apparel,Men,106.18,83.85
P0233,Men Item 233,Apparel,Men,63.03,53.21
P0234,Women Item 234,Apparel,Women,16.86,7.89
P0235,Men Item 235,Apparel,Men,6.23,5.21
P0236,Men Item 236,Apparel,Men,72.46,56.44
P0237,Women Item 237,Apparel,Women,22.38,13.13
P0238,Sportswear Item 238,Apparel,Sportswear,66.04,34.54
P0239,Men Item 239,Apparel,Men,24.64,18.38
P0240,Women Item 240,Apparel,Women,25.47,21.02
P0241,Hair Item 241,Beauty,Hair,17.11,10.31
P0242,Hair Item 242,Beauty,Hair,40.38,18.5
P0243,Skincare Item 243,Beauty,Skincare,27.01,13.58
P0244,Hair Item 244,Beauty,Hair,37.02,26.0
P0245,Skincare Item 245,Beauty,Skincare,7.19,3.24
P0246,Makeup Item 246,Beauty,Makeup,68.18,47.88
P0247,Hair Item 247,Beauty,Hair,84.85,53.8
P0248,Hair Item 248,Beauty,Hair,26.91,21.08
P0249,Hair Item 249,Beauty,Hair,127.56,101.35
P0250,Hair Item 250,Beauty,Hair,99.91,58.1
P0251,Makeup Item 251,Beauty,Makeup,41.11,29.47
P0252,Makeup Item 252,Beauty,Makeup,73.33,36.36
P0253,Skincare Item 253,Beauty,Skincare,57.21,32.98
P0254,Hair Item 254,Beauty,Hair,6.01,3.59
P0255,Hair Item 255,Beauty,Hair,19.78,12.49
P0256,Makeup Item 256,Beauty,Makeup,43.56,32.79
P0257,Skincare Item 257,Beauty,Skincare,90.28,71.15
P0258,Makeup Item 258,Beauty,Makeup,8.13,6.73
P0259,Makeup Item 259,Beauty,Makeup,6.28,3.81
P0260,Skincare Item 260,Beauty,Skincare,23.47,19.74
P0261,Hair Item 261,Beauty,Hair,5.0,3.43
P0262,Hair Item 262,Beauty,Hair,22.84,11.6
P0263,Makeup Item 263,Beauty,Makeup,32.89,15.85
P0264,Makeup Item 264,Beauty,Makeup,11.57,6.43
P0265,Makeup Item 265,Beauty,Makeup,23.33,16.34
P0266,Skincare Item 266,Beauty,Skincare,52.67,25.15
P0267,Skincare Item 267,Beauty,Skincare,16.05,7.7
P0268,Makeup Item 268,Beauty,Makeup,13.01,5.72
P0269,Hair Item 269,Beauty,Hair,22.52,11.1
P0270,Hair Item 270,Beauty,Hair,10.72,6.05
P0271,Skincare Item 271,Beauty,Skincare,118.13,49.34
P0272,Skincare Item 272,Beauty,Skincare,25.23,19.17
P0273,Hair Item 273,Beauty,Hair,14.02,11.12
P0274,Skincare Item 274,Beauty,Skincare,29.11,23.71
P0275,Hair Item 275,Beauty,Hair,22.42,17.1
P0276,Makeup Item 276,Beauty,Makeup,20.56,15.15
P0277,Skincare Item 277,Beauty,Skincare,16.05,9.1
P0278,Makeup Item 278,Beauty,Makeup,15.48,9.57
P0279,Skincare Item 279,Beauty,Skincare,7.3,4.44
P0280,Skincare Item 280,Beauty,Skincare,73.22,53.92
P0281,Makeup Item 281,Beauty,Makeup,38.91,24.52
P0282,Makeup Item 282,Beauty,Makeup,31.47,20.12
P0283,Skincare Item 283,Beauty,Skincare,22.15,14.17
P0284,Makeup Item 284,Beauty,Makeup,11.42,5.81
P0285,Hair Item 285,Beauty,Hair,13.4,5.48
P0286,Hair Item 286,Beauty,Hair,7.86,4.28
P0287,Makeup Item 287,Beauty,Makeup,14.63,6.64
P0288,Hair Item 288,Beauty,Hair,10.33,8.27
P0289,Hair Item 289,Beauty,Hair,94.61,71.44
P0290,Hair Item 290,Beauty,Hair,49.67,31.01
P0291,Skincare Item 291,Beauty,Skincare,26.1,17.33
P0292,Hair Item 292,Beauty,Hair,12.32,9.06
P0293,Hair Item 293,Beauty,Hair,10.7,5.65
P0294,Makeup Item 294,Beauty,Makeup,21.07,11.87
P0295,Hair Item 295,Beauty,Hair,51.47,28.84
P0296,Skincare Item 296,Beauty,Skincare,113.02,95.38
P0297,Skincare Item 297,Beauty,Skincare,8.01,3.57
P0298,Makeup Item 298,Beauty,Makeup,38.49,18.04
P0299,Skincare Item 299,Beauty,Skincare,14.58,7.06
P0300,Skincare Item 300,Beauty,Skincare,16.61,8.77
P0301,Hair Item 301,Beauty,Hair,25.5,14.91
P0302,Hair Item 302,Beauty,Hair,12.62,10.63
P0303,Skincare Item 303,Beauty,Skincare,20.26,16.94
P0304,Makeup Item 304,Beauty,Makeup,11.87,9.37
P0305,Makeup Item 305,Beauty,Makeup,15.47,7.38
P0306,Hair Item 306,Beauty,Hair,44.89,31.46
P0307,Skincare Item 307,Beauty,Skincare,26.56,17.46
P0308,Hair Item 308,Beauty,Hair,44.75,23.54
P0309,Makeup Item 309,Beauty,Makeup,14.44,7.88
P0310,Skincare Item 310,Beauty,Skincare,38.72,22.9
P0311,Hair Item 311,Beauty,Hair,6.67,3.01
P0312,Hair Item 312,Beauty,Hair,25.49,17.2
P0313,Makeup Item 313,Beauty,Makeup,40.89,19.2
P0314,Hair Item 314,Beauty,Hair,6.49,4.0
P0315,Makeup Item 315,Beauty,Makeup,14.56,8.03
P0316,Makeup Item 316,Beauty,Makeup,25.48,11.73
P0317,Skincare Item 317,Beauty,Skincare,54.87,28.24
P0318,Skincare Item 318,Beauty,Skincare,15.46,10.93
P0319,Hair Item 319,Beauty,Hair,37.48,22.95
P0320,Makeup Item 320,Beauty,Makeup,77.73,45.5
P0321,Outdoor Item 321,Sports,Outdoor,38.93,30.12
P0322,Fitness Item 322,Sports,Fitness,20.85,17.39
P0323,Fitness Item 323,Sports,Fitness,33.01,27.14
P0324,Outdoor Item 324,Sports,Outdoor,15.13,7.29
P0325,Fitness Item 325,Sports,Fitness,26.29,17.31
P0326,Cycling Item 326,Sports,Cycling,21.66,16.87
P0327,Outdoor Item 327,Sports,Outdoor,32.14,15.77
P0328,Fitness Item 328,Sports,Fitness,17.65,8.36
P0329,Cycling Item 329,Sports,Cycling,33.63,23.52
P0330,Outdoor Item 330,Sports,Outdoor,17.52,11.13
P0331,Cycling Item 331,Sports,Cycling,49.25,28.4
P0332,Cycling Item 332,Sports,Cycling,18.9,14.51
P0333,Outdoor Item 333,Sports,Outdoor,5.0,3.04
P0334,Cycling Item 334,Sports,Cycling,10.95,5.87
P0335,Fitness Item 335,Sports,Fitness,24.9,12.56
P0336,Fitness Item 336,Sports,Fitness,93.8,75.49
P0337,Fitness Item 337,Sports,Fitness,47.63,38.48
P0338,Cycling Item 338,Sports,Cycling,5.0,3.4
P0339,Fitness Item 339,Sports,Fitness,7.52,3.48
P0340,Cycling Item 340,Sports,Cycling,61.25,46.39
P0341,Fitness Item 341,Sports,Fitness,40.7,32.65
P0342,Outdoor Item 342,Sports,Outdoor,150.89,113.9
P0343,Cycling Item 343,Sports,Cycling,16.99,8.7
P0344,Cycling Item 344,Sports,Cycling,12.43,9.13
P0345,Fitness Item 345,Sports,Fitness,25.98,19.31
P0346,Outdoor Item 346,Sports,Outdoor,16.74,13.3
P0347,Fitness Item 347,Sports,Fitness,56.26,25.3
P0348,Fitness Item 348,Sports,Fitness,16.31,12.74
P0349,Outdoor Item 349,Sports,Outdoor,19.77,15.0
P0350,Outdoor Item 350,Sports,Outdoor,11.21,5.24
P0351,Fitness Item 351,Sports,Fitness,44.95,32.54
P0352,Outdoor Item 352,Sports,Outdoor,11.73,8.08
P0353,Fitness Item 353,Sports,Fitness,34.15,17.53
P0354,Cycling Item 354,Sports,Cycling,110.11,61.17
P0355,Fitness Item 355,Sports,Fitness,5.91,3.59
P0356,Cycling Item 356,Sports,Cycling,81.19,67.09
P0357,Fitness Item 357,Sports,Fitness,30.69,19.26
P0358,Outdoor Item 358,Sports,Outdoor,9.97,6.73
P0359,Cycling Item 359,Sports,Cycling,26.78,19.11
P0360,Outdoor Item 360,Sports,Outdoor,43.84,35.74
P0361,Cycling Item 361,Sports,Cycling,13.03,8.59
P0362,Cycling Item 362,Sports,Cycling,35.77,24.07
P0363,Fitness Item 363,Sports,Fitness,87.76,72.0
P0364,Fitness Item 364,Sports,Fitness,16.3,13.31
P0365,Fitness Item 365,Sports,Fitness,11.12,9.38
P0366,Fitness Item 366,Sports,Fitness,22.18,17.25
P0367,Outdoor Item 367,Sports,Outdoor,25.65,17.08
P0368,Fitness Item 368,Sports,Fitness,58.87,34.12
P0369,Fitness Item 369,Sports,Fitness,21.62,16.46
P0370,Cycling Item 370,Sports,Cycling,17.44,7.01
P0371,Outdoor Item 371,Sports,Outdoor,10.92,7.01
P0372,Outdoor Item 372,Sports,Outdoor,6.53,5.31
P0373,Cycling Item 373,Sports,Cycling,8.74,6.4
P0374,Cycling Item 374,Sports,Cycling,8.71,5.26
P0375,Fitness Item 375,Sports,Fitness,19.93,9.24
P0376,Outdoor Item 376,Sports,Outdoor,7.37,3.53
P0377,Fitness Item 377,Sports,Fitness,5.0,4.06
P0378,Cycling Item 378,Sports,Cycling,23.49,13.23
P0379,Fitness Item 379,Sports,Fitness,107.68,43.71
P0380,Outdoor Item 380,Sports,Outdoor,60.42,42.21
P0381,Fitness Item 381,Sports,Fitness,19.78,8.67
P0382,Outdoor Item 382,Sports,Outdoor,10.12,8.59
P0383,Fitness Item 383,Sports,Fitness,192.23,82.69
P0384,Fitness Item 384,Sports,Fitness,25.72,18.97
P0385,Outdoor Item 385,Sports,Outdoor,28.75,14.15
P0386,Outdoor Item 386,Sports,Outdoor,21.86,10.62
P0387,Outdoor Item 387,Sports,Outdoor,23.9,15.63
P0388,Fitness Item 388,Sports,Fitness,15.88,6.82
P0389,Fitness Item 389,Sports,Fitness,20.01,12.73
P0390,Fitness Item 390,Sports,Fitness,81.71,48.89
P0391,Cycling Item 391,Sports,Cycling,66.48,31.24
P0392,Fitness Item 392,Sports,Fitness,5.0,2.41
P0393,Outdoor Item 393,Sports,Outdoor,7.96,5.49
P0394,Outdoor Item 394,Sports,Outdoor,13.17,7.69
P0395,Outdoor Item 395,Sports,Outdoor,51.86,21.38
P0396,Fitness Item 396,Sports,Fitness,67.85,33.92
P0397,Outdoor Item 397,Sports,Outdoor,43.7,17.87
P0398,Outdoor Item 398,Sports,Outdoor,9.94,4.44
P0399,Cycling Item 399,Sports,Cycling,16.13,11.19
P0400,Cycling Item 400,Sports,Cycling,36.29,18.41
